month,year,state,diagnosed_xpert_total,diagnosed_afb_total,diagnosed_other_total,t_string,t
5,2018,"Kano",0,0,0,"5/2018",May 18
5,2018,"Lagos",0,0,0,"5/2018",May 18
6,2018,"Kano",0,0,0,"6/2018",Jun 18
6,2018,"Lagos",0,0,0,"6/2018",Jun 18
7,2018,"Kano",0,0,0,"7/2018",Jul 18
7,2018,"Lagos",0,0,0,"7/2018",Jul 18
8,2018,"Kano",5,0,5,"8/2018",Aug 18
8,2018,"Lagos",0,0,0,"8/2018",Aug 18
9,2018,"Kano",10,13,8,"9/2018",Sep 18
9,2018,"Lagos",0,0,0,"9/2018",Sep 18
10,2018,"Kano",34,8,7,"10/2018",Oct 18
10,2018,"Lagos",100,7,20,"10/2018",Oct 18
11,2018,"Kano",40,19,6,"11/2018",Nov 18
11,2018,"Lagos",179,12,23,"11/2018",Nov 18
12,2018,"Kano",56,20,8,"12/2018",Dec 18
12,2018,"Lagos",151,5,24,"12/2018",Dec 18
1,2019,"Kano",74,71,9,"1/2019",Jan 19
1,2019,"Lagos",187,9,25,"1/2019",Jan 19
2,2019,"Kano",115,43,9,"2/2019",Feb 19
2,2019,"Lagos",175,7,37,"2/2019",Feb 19
3,2019,"Kano",148,22,16,"3/2019",Mar 19
3,2019,"Lagos",195,17,40,"3/2019",Mar 19
4,2019,"Kano",151,65,27,"4/2019",Apr 19
4,2019,"Lagos",191,48,52,"4/2019",Apr 19
5,2019,"Kano",48,94,31,"5/2019",May 19
5,2019,"Lagos",169,26,46,"5/2019",May 19
6,2019,"Kano",76,135,37,"6/2019",Jun 19
6,2019,"Lagos",143,29,47,"6/2019",Jun 19
7,2019,"Kano",110,153,46,"7/2019",Jul 19
7,2019,"Lagos",196,87,75,"7/2019",Jul 19
8,2019,"Kano",104,122,90,"8/2019",Aug 19
8,2019,"Lagos",139,118,89,"8/2019",Aug 19
9,2019,"Kano",90,213,89,"9/2019",Sep 19
9,2019,"Lagos",142,81,95,"9/2019",Sep 19
10,2019,"Kano",74,281,77,"10/2019",Oct 19
10,2019,"Lagos",155,88,78,"10/2019",Oct 19
11,2019,"Kano",52,131,42,"11/2019",Nov 19
11,2019,"Lagos",197,69,72,"11/2019",Nov 19
12,2019,"Kano",54,115,43,"12/2019",Dec 19
12,2019,"Lagos",168,44,65,"12/2019",Dec 19
1,2020,"Kano",47,120,53,"1/2020",Jan 20
1,2020,"Lagos",170,79,63,"1/2020",Jan 20
2,2020,"Kano",54,58,48,"2/2020",Feb 20
2,2020,"Lagos",131,47,67,"2/2020",Feb 20
3,2020,"Kano",65,75,57,"3/2020",Mar 20
3,2020,"Lagos",143,50,65,"3/2020",Mar 20
4,2020,"Kano",33,61,17,"4/2020",Apr 20
4,2020,"Lagos",71,34,47,"4/2020",Apr 20
5,2020,"Kano",35,61,11,"5/2020",May 20
5,2020,"Lagos",117,31,63,"5/2020",May 20
6,2020,"Kano",107,130,55,"6/2020",Jun 20
6,2020,"Lagos",136,42,85,"6/2020",Jun 20
7,2020,"Kano",159,167,89,"7/2020",Jul 20
7,2020,"Lagos",166,40,92,"7/2020",Jul 20
8,2020,"Kano",126,218,59,"8/2020",Aug 20
8,2020,"Lagos",167,74,92,"8/2020",Aug 20
9,2020,"Kano",136,290,78,"9/2020",Sep 20
9,2020,"Lagos",166,43,78,"9/2020",Sep 20
10,2020,"Kano",120,207,79,"10/2020",Oct 20
10,2020,"Lagos",127,37,80,"10/2020",Oct 20
11,2020,"Kano",118,174,80,"11/2020",Nov 20
11,2020,"Lagos",186,45,86,"11/2020",Nov 20
12,2020,"Kano",122,173,83,"12/2020",Dec 20
12,2020,"Lagos",174,38,77,"12/2020",Dec 20
