d,state,open
Jan 19,"Kano",728
Jan 19,"Lagos",793
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Jan 19,"Kano",663
Jan 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Feb 19,"Kano",663
Feb 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Mar 19,"Kano",663
Mar 19,"Lagos",320
Apr 19,"Kano",663
Apr 19,"Lagos",320
Apr 19,"Kano",663
Apr 19,"Lagos",320
Apr 19,"Kano",663
Apr 19,"Lagos",320
Apr 19,"Kano",663
Apr 19,"Lagos",320
Apr 19,"Kano",663
Apr 19,"Lagos",320
Apr 19,"Kano",663
Apr 19,"Lagos",320
Apr 19,"Kano",663
Apr 19,"Lagos",320
Apr 19,"Kano",663
Apr 19,"Lagos",320
Apr 19,"Kano",663
Apr 19,"Lagos",320
Apr 19,"Kano",663
Apr 19,"Lagos",320
Apr 19,"Kano",663
Apr 19,"Lagos",320
Apr 19,"Kano",663
Apr 19,"Lagos",320
Apr 19,"Kano",663
Apr 19,"Lagos",320
Apr 19,"Kano",663
Apr 19,"Lagos",320
Apr 19,"Kano",663
Apr 19,"Lagos",320
Apr 19,"Kano",663
