month,year,state,cases_private,cases_public,t_string,t
5,2018,"Kano",0,0,"5/2018",May 18
5,2018,"Lagos",0,0,"5/2018",May 18
6,2018,"Kano",0,0,"6/2018",Jun 18
6,2018,"Lagos",0,0,"6/2018",Jun 18
7,2018,"Kano",0,0,"7/2018",Jul 18
7,2018,"Lagos",0,0,"7/2018",Jul 18
8,2018,"Kano",0,0,"8/2018",Aug 18
8,2018,"Lagos",0,0,"8/2018",Aug 18
9,2018,"Kano",0,0,"9/2018",Sep 18
9,2018,"Lagos",7,0,"9/2018",Sep 18
10,2018,"Kano",24,10,"10/2018",Oct 18
10,2018,"Lagos",106,14,"10/2018",Oct 18
11,2018,"Kano",31,20,"11/2018",Nov 18
11,2018,"Lagos",164,26,"11/2018",Nov 18
12,2018,"Kano",27,36,"12/2018",Dec 18
12,2018,"Lagos",150,25,"12/2018",Dec 18
1,2019,"Kano",80,63,"1/2019",Jan 19
1,2019,"Lagos",200,19,"1/2019",Jan 19
2,2019,"Kano",59,87,"2/2019",Feb 19
2,2019,"Lagos",197,48,"2/2019",Feb 19
3,2019,"Kano",36,62,"3/2019",Mar 19
3,2019,"Lagos",227,31,"3/2019",Mar 19
4,2019,"Kano",177,50,"4/2019",Apr 19
4,2019,"Lagos",276,26,"4/2019",Apr 19
5,2019,"Kano",99,43,"5/2019",May 19
5,2019,"Lagos",223,22,"5/2019",May 19
6,2019,"Kano",173,39,"6/2019",Jun 19
6,2019,"Lagos",187,23,"6/2019",Jun 19
7,2019,"Kano",197,63,"7/2019",Jul 19
7,2019,"Lagos",297,41,"7/2019",Jul 19
8,2019,"Kano",176,69,"8/2019",Aug 19
8,2019,"Lagos",278,25,"8/2019",Aug 19
9,2019,"Kano",162,74,"9/2019",Sep 19
9,2019,"Lagos",309,16,"9/2019",Sep 19
10,2019,"Kano",191,72,"10/2019",Oct 19
10,2019,"Lagos",285,26,"10/2019",Oct 19
11,2019,"Kano",131,50,"11/2019",Nov 19
11,2019,"Lagos",300,18,"11/2019",Nov 19
12,2019,"Kano",146,27,"12/2019",Dec 19
12,2019,"Lagos",244,24,"12/2019",Dec 19
1,2020,"Kano",150,16,"1/2020",Jan 20
1,2020,"Lagos",270,12,"1/2020",Jan 20
2,2020,"Kano",159,24,"2/2020",Feb 20
2,2020,"Lagos",223,12,"2/2020",Feb 20
3,2020,"Kano",196,28,"3/2020",Mar 20
3,2020,"Lagos",257,13,"3/2020",Mar 20
4,2020,"Kano",245,30,"4/2020",Apr 20
4,2020,"Lagos",159,6,"4/2020",Apr 20
5,2020,"Kano",208,28,"5/2020",May 20
5,2020,"Lagos",208,12,"5/2020",May 20
6,2020,"Kano",291,53,"6/2020",Jun 20
6,2020,"Lagos",255,13,"6/2020",Jun 20
7,2020,"Kano",352,71,"7/2020",Jul 20
7,2020,"Lagos",283,12,"7/2020",Jul 20
8,2020,"Kano",404,38,"8/2020",Aug 20
8,2020,"Lagos",292,16,"8/2020",Aug 20
9,2020,"Kano",538,40,"9/2020",Sep 20
9,2020,"Lagos",276,14,"9/2020",Sep 20
10,2020,"Kano",377,55,"10/2020",Oct 20
10,2020,"Lagos",235,9,"10/2020",Oct 20
11,2020,"Kano",367,43,"11/2020",Nov 20
11,2020,"Lagos",288,16,"11/2020",Nov 20
12,2020,"Kano",424,43,"12/2020",Dec 20
12,2020,"Lagos",249,5,"12/2020",Dec 20
