month,year,state,cases_starttrt_pvthosp_total,cases_starttrt_pubhosp_total,t_string,t
5,2018,"Kano",0,0,"5/2018",May 18
5,2018,"Lagos",0,0,"5/2018",May 18
6,2018,"Kano",0,0,"6/2018",Jun 18
6,2018,"Lagos",0,0,"6/2018",Jun 18
7,2018,"Kano",0,0,"7/2018",Jul 18
7,2018,"Lagos",0,0,"7/2018",Jul 18
8,2018,"Kano",0,0,"8/2018",Aug 18
8,2018,"Lagos",0,0,"8/2018",Aug 18
9,2018,"Kano",0,0,"9/2018",Sep 18
9,2018,"Lagos",7,0,"9/2018",Sep 18
10,2018,"Kano",0,0,"10/2018",Oct 18
10,2018,"Lagos",7,0,"10/2018",Oct 18
11,2018,"Kano",0,0,"11/2018",Nov 18
11,2018,"Lagos",19,0,"11/2018",Nov 18
12,2018,"Kano",27,13,"12/2018",Dec 18
12,2018,"Lagos",17,7,"12/2018",Dec 18
1,2019,"Kano",31,33,"1/2019",Jan 19
1,2019,"Lagos",27,7,"1/2019",Jan 19
2,2019,"Kano",21,48,"2/2019",Feb 19
2,2019,"Lagos",24,9,"2/2019",Feb 19
3,2019,"Kano",36,34,"3/2019",Mar 19
3,2019,"Lagos",31,9,"3/2019",Mar 19
4,2019,"Kano",62,23,"4/2019",Apr 19
4,2019,"Lagos",42,12,"4/2019",Apr 19
5,2019,"Kano",22,13,"5/2019",May 19
5,2019,"Lagos",33,12,"5/2019",May 19
6,2019,"Kano",39,17,"6/2019",Jun 19
6,2019,"Lagos",27,13,"6/2019",Jun 19
7,2019,"Kano",49,26,"7/2019",Jul 19
7,2019,"Lagos",41,14,"7/2019",Jul 19
8,2019,"Kano",65,30,"8/2019",Aug 19
8,2019,"Lagos",37,7,"8/2019",Aug 19
9,2019,"Kano",45,26,"9/2019",Sep 19
9,2019,"Lagos",52,5,"9/2019",Sep 19
10,2019,"Kano",54,31,"10/2019",Oct 19
10,2019,"Lagos",34,6,"10/2019",Oct 19
11,2019,"Kano",33,20,"11/2019",Nov 19
11,2019,"Lagos",32,10,"11/2019",Nov 19
12,2019,"Kano",39,12,"12/2019",Dec 19
12,2019,"Lagos",26,6,"12/2019",Dec 19
1,2020,"Kano",24,2,"1/2020",Jan 20
1,2020,"Lagos",27,5,"1/2020",Jan 20
2,2020,"Kano",37,5,"2/2020",Feb 20
2,2020,"Lagos",26,7,"2/2020",Feb 20
3,2020,"Kano",47,15,"3/2020",Mar 20
3,2020,"Lagos",26,5,"3/2020",Mar 20
4,2020,"Kano",98,7,"4/2020",Apr 20
4,2020,"Lagos",17,4,"4/2020",Apr 20
5,2020,"Kano",76,10,"5/2020",May 20
5,2020,"Lagos",21,3,"5/2020",May 20
6,2020,"Kano",97,19,"6/2020",Jun 20
6,2020,"Lagos",32,6,"6/2020",Jun 20
7,2020,"Kano",117,35,"7/2020",Jul 20
7,2020,"Lagos",39,2,"7/2020",Jul 20
8,2020,"Kano",147,27,"8/2020",Aug 20
8,2020,"Lagos",34,5,"8/2020",Aug 20
9,2020,"Kano",205,23,"9/2020",Sep 20
9,2020,"Lagos",37,7,"9/2020",Sep 20
10,2020,"Kano",154,44,"10/2020",Oct 20
10,2020,"Lagos",30,4,"10/2020",Oct 20
11,2020,"Kano",131,31,"11/2020",Nov 20
11,2020,"Lagos",29,4,"11/2020",Nov 20
12,2020,"Kano",155,30,"12/2020",Dec 20
12,2020,"Lagos",30,2,"12/2020",Dec 20
