,Telemedicine Service,,
lga,No,Yes,Total
,No.,No.,No.
Agege,20.0,8.0,28.0
Ajeromi-Ifelodun,74.0,1.0,75.0
Ajingi,0.0,1.0,1.0
Alimosho,187.0,49.0,236.0
Amuwo-Odofin,37.0,10.0,47.0
Apapa,49.0,0.0,49.0
Badagry,24.0,2.0,26.0
Bebeji,13.0,2.0,15.0
Bichi,9.0,0.0,9.0
Dala,41.0,8.0,49.0
Dawakin Kudu,6.0,2.0,8.0
Dawakin Tofa,6.0,0.0,6.0
Eti-Osa,14.0,7.0,21.0
Fagge,75.0,10.0,85.0
Garko,27.0,0.0,27.0
Gaya,26.0,0.0,26.0
Gezawa,14.0,0.0,14.0
Gwa,1.0,0.0,1.0
Gwale,90.0,4.0,94.0
Ifako-Ijaiye,31.0,18.0,49.0
Ikeja,22.0,18.0,40.0
Ikorodu,40.0,1.0,41.0
Kano Municipal Council,40.0,0.0,40.0
Kiru,14.0,0.0,14.0
Kosofe,10.0,15.0,25.0
Kumbotso,101.0,1.0,102.0
Kura,13.0,1.0,14.0
Lagos Island,41.0,2.0,43.0
Lagos Mainland,16.0,0.0,16.0
Madobi,1.0,0.0,1.0
Mushin,10.0,4.0,14.0
Nassarawa,52.0,2.0,54.0
Ojo,73.0,4.0,77.0
Oshodi-Isolo,39.0,6.0,45.0
Shomolu,18.0,1.0,19.0
Sumaila,6.0,0.0,6.0
Sumailawa,1.0,0.0,1.0
Surulere,6.0,3.0,9.0
Takai,12.0,0.0,12.0
Tarauni,79.0,4.0,83.0
Tofa,11.0,0.0,11.0
Ungogo,27.0,2.0,29.0
Wudil,36.0,0.0,36.0
Total,"1,412.0",186.0,"1,598.0"

